pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
pop_A	chr2L	1	100	0.0233082706766917	98	434	18620	0
pop_B	chr2L	1	100	0.0608485499462943	98	1133	18620	0
pop_A	chr2L	101	200	0.0149388623072833	99	281	18810	0
pop_B	chr2L	101	200	0.0569377990430622	99	1071	18810	0
pop_A	chr2L	201	300	0.0138224348750664	99	260	18810	0
pop_B	chr2L	201	300	0.0604997341839447	99	1138	18810	0
pop_A	chr2L	301	400	0.0277960526315789	96	507	18240	0
pop_B	chr2L	301	400	0.0765899122807017	96	1397	18240	0
pop_A	chr2L	401	500	0.0215842636895268	99	406	18810	0
pop_B	chr2L	401	500	0.0819245082402977	99	1541	18810	0
pop_A	chr2L	501	600	0.0162778079218665	97	300	18430	0
pop_B	chr2L	501	600	0.0704286489419424	97	1298	18430	0
pop_A	chr2L	601	700	0.0266995614035087	96	487	18240	0
pop_B	chr2L	601	700	0.0647478070175438	96	1181	18240	0
pop_B	chr2L	701	800	0.0703399122807017	96	1283	18240	0
pop_A	chr2L	701	800	0.0274671052631578	96	501	18240	0
pop_A	chr2L	801	900	0.0277265328269126	97	511	18430	0
pop_B	chr2L	801	900	0.0619099294628323	97	1141	18430	0
pop_A	chr2L	901	1000	0.0203684210526315	100	387	19000	0
pop_B	chr2L	901	1000	0.0559473684210526	100	1063	19000	0
pop_A	chr2L	1001	1100	0.015567867036011	95	281	18050	0
pop_B	chr2L	1001	1100	0.0746814404432133	95	1348	18050	0
pop_A	chr2L	1101	1200	0.0248657357679914	98	463	18620	0
pop_B	chr2L	1101	1200	0.090547798066595	98	1686	18620	0
pop_A	chr2L	1201	1300	0.0259398496240601	98	483	18620	0
pop_B	chr2L	1201	1300	0.0748657357679914	98	1394	18620	0
pop_A	chr2L	1301	1400	0.0142543859649122	96	260	18240	0
pop_B	chr2L	1301	1400	0.0592105263157894	96	1080	18240	0
pop_A	chr2L	1401	1500	0.0188947368421052	100	359	19000	0
pop_B	chr2L	1401	1500	0.0737894736842105	100	1402	19000	0
pop_B	chr2L	1501	1600	0.0803038524145415	97	1480	18430	0
pop_A	chr2L	1501	1600	0.0288659793814433	97	532	18430	0
pop_A	chr2L	1601	1700	0.0154057017543859	96	281	18240	0
pop_B	chr2L	1601	1700	0.0675986842105263	96	1233	18240	0
pop_A	chr2L	1701	1800	0.0168947368421052	100	321	19000	0
pop_B	chr2L	1701	1800	0.0673157894736842	100	1279	19000	0
pop_A	chr2L	1801	1900	0.0169590643274853	99	319	18810	0
pop_B	chr2L	1801	1900	0.064274322169059	99	1209	18810	0
pop_A	chr2L	1901	2000	0.0264769065520945	98	493	18620	0
pop_B	chr2L	1901	2000	0.0851772287862513	98	1586	18620	0
pop_A	chr2L	2001	2100	0.0196820175438596	96	359	18240	0
pop_B	chr2L	2001	2100	0.0955043859649122	96	1742	18240	0
pop_A	chr2L	2101	2200	0.0307814992025518	99	579	18810	0
pop_B	chr2L	2101	2200	0.0732589048378522	99	1378	18810	0
pop_B	chr2L	2201	2300	0.1035982814178302	98	1929	18620	0
pop_A	chr2L	2201	2300	0.0314715359828141	98	586	18620	0
pop_B	chr2L	2301	2400	0.0859468258274552	97	1584	18430	0
pop_A	chr2L	2301	2400	0.0317959848073792	97	586	18430	0
pop_A	chr2L	2401	2500	0.0229977116704805	92	402	17480	0
pop_B	chr2L	2401	2500	0.0509725400457665	92	891	17480	0
pop_A	chr2L	2501	2600	0.0246710526315789	96	450	18240	0
pop_B	chr2L	2501	2600	0.0741776315789473	96	1353	18240	0
pop_A	chr2L	2601	2700	0.0155746509129967	98	290	18620	0
pop_B	chr2L	2601	2700	0.0519871106337271	98	968	18620	0
pop_A	chr2L	2701	2800	0.0225718936516549	97	416	18430	0
pop_B	chr2L	2701	2800	0.0661964188822571	97	1220	18430	0
pop_A	chr2L	2801	2900	0.0232323232323232	99	437	18810	0
pop_B	chr2L	2801	2900	0.0733652312599681	99	1380	18810	0
pop_A	chr2L	2901	3000	0.0273899033297529	98	510	18620	0
pop_B	chr2L	2901	3000	0.0815252416756176	98	1518	18620	0
pop_B	chr2L	3001	3100	0.0703743895822029	97	1297	18430	0
pop_A	chr2L	3001	3100	0.0187194791101465	97	345	18430	0
pop_B	chr2L	3101	3200	0.0826592797783933	95	1492	18050	0
pop_A	chr2L	3101	3200	0.0174515235457063	95	315	18050	0
pop_A	chr2L	3201	3300	0.0340526315789473	100	647	19000	0
pop_B	chr2L	3201	3300	0.0688421052631579	100	1308	19000	0
pop_A	chr2L	3301	3400	0.0140350877192982	99	264	18810	0
pop_B	chr2L	3301	3400	0.0535885167464114	99	1008	18810	0
pop_A	chr2L	3401	3500	0.0294628323385784	97	543	18430	0
pop_B	chr2L	3401	3500	0.0940857297883885	97	1734	18430	0
pop_A	chr2L	3501	3600	0.0201302224633749	97	371	18430	0
pop_B	chr2L	3501	3600	0.0628323385784047	97	1158	18430	0
pop_A	chr2L	3601	3700	0.0186842105263157	100	355	19000	0
pop_B	chr2L	3601	3700	0.0527368421052631	100	1002	19000	0
pop_A	chr2L	3701	3800	0.0257250268528464	98	479	18620	0
pop_B	chr2L	3701	3800	0.0793770139634801	98	1478	18620	0
pop_A	chr2L	3801	3900	0.020032223415682	98	373	18620	0
pop_B	chr2L	3801	3900	0.051235230934479	98	954	18620	0
pop_B	chr2L	3901	4000	0.085016111707841	98	1583	18620	0
pop_A	chr2L	3901	4000	0.0366272824919441	98	682	18620	0
pop_A	chr2L	4001	4100	0.0259473684210526	100	493	19000	0
pop_B	chr2L	4001	4100	0.0898947368421052	100	1708	19000	0
pop_A	chr2L	4101	4200	0.0390667390124796	97	720	18430	0
pop_B	chr2L	4101	4200	0.1058057514921324	97	1950	18430	0
pop_A	chr2L	4201	4300	0.0314715359828141	98	586	18620	0
pop_B	chr2L	4201	4300	0.0770139634801289	98	1434	18620	0
pop_A	chr2L	4301	4400	0.0187894736842105	100	357	19000	0
pop_B	chr2L	4301	4400	0.0760526315789473	100	1445	19000	0
pop_A	chr2L	4401	4500	0.024145415084102	97	445	18430	0
pop_B	chr2L	4401	4500	0.0721106890938687	97	1329	18430	0
pop_A	chr2L	4501	4600	0.0247208931419457	99	465	18810	0
pop_B	chr2L	4501	4600	0.0800637958532695	99	1506	18810	0
pop_B	chr2L	4601	4700	0.0645285087719298	96	1177	18240	0
pop_A	chr2L	4601	4700	0.0212171052631578	96	387	18240	0
pop_B	chr2L	4701	4800	0.0661117078410311	98	1231	18620	0
pop_A	chr2L	4701	4800	0.0307733619763694	98	573	18620	0
pop_A	chr2L	4801	4900	0.0272287862513426	98	507	18620	0
pop_B	chr2L	4801	4900	0.120032223415682	98	2235	18620	0
pop_A	chr2L	4901	5000	0.0314178302900107	98	585	18620	0
pop_B	chr2L	4901	5000	0.0568206229860365	98	1058	18620	0
pop_A	chr2L	5001	5100	0.0220193340494092	98	410	18620	0
pop_B	chr2L	5001	5100	0.085875402792696	98	1599	18620	0
pop_A	chr2L	5101	5200	0.0198298777246145	99	373	18810	0
pop_B	chr2L	5101	5200	0.0552897395002658	99	1040	18810	0
pop_A	chr2L	5201	5300	0.0118947368421052	100	226	19000	0
pop_B	chr2L	5201	5300	0.0465263157894736	100	884	19000	0
pop_A	chr2L	5301	5400	0.0239766081871345	99	451	18810	0
pop_B	chr2L	5301	5400	0.0843168527379053	99	1586	18810	0
pop_A	chr2L	5401	5500	0.0290547798066595	98	541	18620	0
pop_B	chr2L	5401	5500	0.0933404940923737	98	1738	18620	0
pop_B	chr2L	5501	5600	0.0723952738990333	98	1348	18620	0
pop_A	chr2L	5501	5600	0.0171858216970998	98	320	18620	0
pop_A	chr2L	5601	5700	0.0112316874660879	97	207	18430	0
pop_B	chr2L	5601	5700	0.0393922951709169	97	726	18430	0
pop_A	chr2L	5701	5800	0.0183939229517091	97	339	18430	0
pop_B	chr2L	5701	5800	0.068041237113402	97	1254	18430	0
pop_A	chr2L	5801	5900	0.0180451127819548	98	336	18620	0
pop_B	chr2L	5801	5900	0.0761546723952739	98	1418	18620	0
pop_A	chr2L	5901	6000	0.0272195640616693	99	512	18810	0
pop_B	chr2L	5901	6000	0.1024986709197235	99	1928	18810	0
pop_A	chr2L	6001	6100	0.0162778079218665	97	300	18430	0
pop_B	chr2L	6001	6100	0.0627238198589256	97	1156	18430	0
pop_A	chr2L	6101	6200	0.0138947368421052	100	264	19000	0
pop_B	chr2L	6101	6200	0.0626842105263157	100	1191	19000	0
pop_B	chr2L	6201	6300	0.0848684210526315	96	1548	18240	0
pop_A	chr2L	6201	6300	0.0205043859649122	96	374	18240	0
pop_A	chr2L	6301	6400	0.0215460526315789	96	393	18240	0
pop_B	chr2L	6301	6400	0.0995614035087719	96	1816	18240	0
pop_A	chr2L	6401	6500	0.0188729399255715	99	355	18810	0
pop_B	chr2L	6401	6500	0.0707070707070707	99	1330	18810	0
pop_A	chr2L	6501	6600	0.0217580032555615	97	401	18430	0
pop_B	chr2L	6501	6600	0.0717851329354313	97	1323	18430	0
pop_A	chr2L	6601	6700	0.0271750805585392	98	506	18620	0
pop_B	chr2L	6601	6700	0.0738990332975295	98	1376	18620	0
pop_A	chr2L	6701	6800	0.0264769065520945	98	493	18620	0
pop_B	chr2L	6701	6800	0.098657357679914	98	1837	18620	0
pop_A	chr2L	6801	6900	0.0175438596491228	96	320	18240	0
pop_B	chr2L	6801	6900	0.0569078947368421	96	1038	18240	0
pop_B	chr2L	6901	7000	0.0806836679327183	97	1487	18430	0
pop_A	chr2L	6901	7000	0.0377102550189907	97	695	18430	0
pop_A	chr2L	7001	7100	0.0278195488721804	98	518	18620	0
pop_B	chr2L	7001	7100	0.0632116004296455	98	1177	18620	0
pop_A	chr2L	7101	7200	0.0132935431361909	97	245	18430	0
pop_B	chr2L	7101	7200	0.0706456863809007	97	1302	18430	0
pop_A	chr2L	7201	7300	0.0286315789473684	100	544	19000	0
pop_B	chr2L	7201	7300	0.0774736842105263	100	1472	19000	0
pop_A	chr2L	7301	7400	0.019172932330827	98	357	18620	0
pop_B	chr2L	7301	7400	0.0854457572502685	98	1591	18620	0
pop_A	chr2L	7401	7500	0.027282491944146	98	508	18620	0
pop_B	chr2L	7401	7500	0.0904940923737916	98	1685	18620	0
pop_A	chr2L	7501	7600	0.0201396348012889	98	375	18620	0
pop_B	chr2L	7501	7600	0.0682062298603652	98	1270	18620	0
pop_A	chr2L	7601	7700	0.0205209994683678	99	386	18810	0
pop_B	chr2L	7601	7700	0.0464646464646464	99	874	18810	0
pop_B	chr2L	7701	7800	0.0465263157894736	100	884	19000	0
pop_A	chr2L	7701	7800	0.0194210526315789	100	369	19000	0
pop_A	chr2L	7801	7900	0.0212652844231791	99	400	18810	0
pop_B	chr2L	7801	7900	0.0619351408825093	99	1165	18810	0
pop_A	chr2L	7901	8000	0.0233157894736842	100	443	19000	0
pop_B	chr2L	7901	8000	0.0583684210526315	100	1109	19000	0
pop_A	chr2L	8001	8100	0.0257841573631047	99	485	18810	0
pop_B	chr2L	8001	8100	0.0811270600744284	99	1526	18810	0
pop_A	chr2L	8101	8200	0.0300372142477405	99	565	18810	0
pop_B	chr2L	8101	8200	0.1121212121212121	99	2109	18810	0
pop_A	chr2L	8201	8300	0.0235197368421052	96	429	18240	0
pop_B	chr2L	8201	8300	0.0864583333333333	96	1577	18240	0
pop_A	chr2L	8301	8400	0.0186842105263157	100	355	19000	0
pop_B	chr2L	8301	8400	0.0681052631578947	100	1294	19000	0
pop_B	chr2L	8401	8500	0.0912996777658431	98	1700	18620	0
pop_A	chr2L	8401	8500	0.0341031149301826	98	635	18620	0
pop_B	chr2L	8501	8600	0.0437164339419978	98	814	18620	0
pop_A	chr2L	8501	8600	0.0184210526315789	98	343	18620	0
pop_A	chr2L	8601	8700	0.0184481823114487	97	340	18430	0
