chr	windowStart	windowEnd	D	f_d	f_dM	d_f
1	1600972	3883268	-0.212720	-0.498523	-0.122441	-0.096916
1	2356803	4722073	-0.538012	9.974850	-0.282366	-0.326319
1	3883310	5160054	-0.226680	-1.125609	-0.176752	-0.095923
1	4722194	5599283	0.039290	0.038460	0.028903	0.020254
1	5168004	5998565	0.240741	0.234141	0.180773	0.162665
1	5599292	6473143	0.092760	0.211241	0.111679	0.076254
1	5998815	6975728	0.144936	0.286129	0.147885	0.138883
1	6511835	7796328	0.238213	0.422596	0.146722	0.212173
1	6976097	8112166	-0.491486	1.222081	-0.092089	-0.207836
1	7832563	11619031	-0.853730	1.132924	-0.076079	-0.374706
1	8112215	12033414	-0.733745	3.707086	-0.122199	-0.450474
1	11656169	12532594	-0.702620	-7.518772	-0.863832	-0.555455
1	12034430	13207692	-0.718856	-8.908483	-0.866665	-0.572108
1	12532724	13584809	-0.184072	-0.380373	-0.183199	-0.151567
1	13213952	15053997	-0.498454	3.076486	-0.160584	-0.276526
1	13585588	16580858	-0.803283	1.319641	-0.205662	-0.405424
1	15078177	16654212	-0.863869	1.422523	-0.249319	-0.457979
1	16589313	17141300	-0.736047	-4.910287	-0.821580	-0.601580
1	16656180	17476408	-0.733255	-5.956882	-0.819514	-0.593325
1	17141306	17771477	-0.733818	-9.631311	-0.863014	-0.593267
1	17484073	18153003	-0.741667	-7.943461	-0.869787	-0.606444
1	17772357	18655177	-0.727031	-7.609459	-0.865288	-0.584522
1	18164827	19121865	-0.677735	-7.931529	-0.656348	-0.519686
1	18655344	19477366	-0.713335	-12.357301	-0.493604	-0.557810
1	19150670	19902854	-0.724984	-6.399401	-0.571943	-0.588363
1	19481433	20197650	-0.678806	-5.979538	-0.651283	-0.536990
1	19903211	20655020	-0.660419	-5.252476	-0.642038	-0.517892
1	20197809	21026608	-0.665798	-4.802095	-0.802737	-0.521100
1	20655242	21273820	-0.674666	-7.819621	-0.868113	-0.525186
