pop	chromosome	window_pos_1	window_pos_2	avg_watterson_theta	no_sites	raw_watterson_theta	no_var_sites	weighted_no_sites
pop_A	chr2L	1	10000	0.0492976495783728	9783	482.2789058252211	1711.0	9783.0
pop_B	chr2L	1	10000	0.0599581582539998	9783	586.5706621988808	2081.0	9783.0
pop_A	chr2L	10001	20000	0.0508435692208228	9796	498.0636040871804	1767.0	9796.0
pop_B	chr2L	10001	20000	0.0618064440782837	9796	605.4559261908679	2148.0	9796.0
pop_A	chr2L	20001	30000	0.0509516977703375	9825	500.6004305935667	1776.0	9825.0
pop_B	chr2L	20001	30000	0.0614231897107504	9825	603.482838908123	2141.0	9825.0
pop_A	chr2L	30001	40000	0.0503492722962364	9797	493.27182068622847	1750.0	9797.0
pop_B	chr2L	30001	40000	0.0609370049848164	9797	596.9998378362468	2118.0	9797.0
pop_A	chr2L	40001	50000	0.0498009972244015	9786	487.35255883799374	1729.0	9786.0
pop_B	chr2L	40001	50000	0.0602854176926966	9786	589.9530975407292	2093.0	9786.0
