id	chrom	start	stop	pos_start	pos_stop	modelL	nullL	sel_coef	nSNPs	nSNPs_avail	xpclr	xpclr_norm
1_00000001_00500000	1	1	500000	1485	435064	-20.488187916486222	-20.488187916486222	0.0	25.0	25.0	0.0	-0.10514711803670448
1_00100001_00600000	1	100001	600000	110850	576805	-28.980570854619117	-28.980570854619117	0.0	26.0	26.0	0.0	-0.10514711803670448
1_00200001_00700000	1	200001	700000	216056	576805	-23.31446084725048	-23.31446084725048	0.0	22.0	22.0	0.0	-0.10514711803670448
1_00300001_00800000	1	300001	800000	322540	576805	-20.165280314617185	-20.165280314617185	0.0	17.0	17.0	0.0	-0.10514711803670448
1_00400001_00900000	1	400001	900000	418846	576805	-20.136803648605678	-20.136803648605678	0.0	10.0	10.0	0.0	-0.10514711803670448
1_00500001_01000000	1	500001	1000000	510168	959044	-23.74743820826285	-23.74743820826285	0.0	7.0	7.0	0.0	-0.10514711803670448
1_00600001_01100000	1	600001	1100000	948501	959044	-7.667796192755849	-7.667796192755849	0.0	2.0	2.0	0.0	-0.10514711803670448
1_00700001_01200000	1	700001	1200000	948501	1187897	-12.32939497395026	-12.32939497395026	0.0	4.0	4.0	0.0	-0.10514711803670448
1_00800001_01300000	1	800001	1300000	948501	1257488	-21.08409126001058	-21.08409126001058	0.0	7.0	7.0	0.0	-0.10514711803670448
1_00900001_01400000	1	900001	1400000	948501	1345853	-24.674736915191424	-24.674736915191424	0.0	8.0	8.0	0.0	-0.10514711803670448
1_01000001_01500000	1	1000001	1500000	1181186	1488946	-24.90514085813937	-24.90514085813937	0.0	8.0	8.0	0.0	-0.10514711803670448
1_01100001_01600000	1	1100001	1600000	1181186	1596404	-40.96574170942483	-40.96574170942483	0.0	18.0	18.0	0.0	-0.10514711803670448
1_01200001_01700000	1	1200001	1700000	1206499	1696037	-53.204564962768664	-53.204564962768664	0.0	27.0	27.0	0.0	-0.10514711803670448
1_01300001_01800000	1	1300001	1800000	1345853	1783245	-71.350217419731	-71.350217419731	0.0	32.0	32.0	0.0	-0.10514711803670448
1_01400001_01900000	1	1400001	1900000	1477092	1876960	-86.37809432063517	-86.37809432063517	0.0	37.0	37.0	0.0	-0.10514711803670448
1_01500001_02000000	1	1500001	2000000	1512083	1876960	-86.39782760915281	-86.39782760915281	0.0	35.0	35.0	0.0	-0.10514711803670448
1_01600001_02100000	1	1600001	2100000	1600972	2065315	-89.12594013932522	-89.12594013932522	0.0	30.0	30.0	0.0	-0.10514711803670448
1_01700001_02200000	1	1700001	2200000	1730667	2184908	-86.24535348710765	-86.24535348710765	0.0	28.0	28.0	0.0	-0.10514711803670448
1_01800001_02300000	1	1800001	2300000	1840321	2289718	-74.5853679079017	-74.5853679079017	0.0	28.0	28.0	0.0	-0.10514711803670448
1_01900001_02400000	1	1900001	2400000	2018307	2356803	-70.5737729223538	-70.5737729223538	0.0	26.0	26.0	0.0	-0.10514711803670448
1_02000001_02500000	1	2000001	2500000	2018307	2356803	-70.5737729223538	-70.5737729223538	0.0	26.0	26.0	0.0	-0.10514711803670448
1_02100001_02600000	1	2100001	2600000	2122200	2594693	-73.80285351784092	-73.80285351784092	0.0	26.0	26.0	0.0	-0.10514711803670448
1_02200001_02700000	1	2200001	2700000	2233214	2683983	-65.05697373130394	-65.05697373130394	0.0	23.0	23.0	0.0	-0.10514711803670448
1_02300001_02800000	1	2300001	2800000	2350717	2683983	-42.140332533537155	-42.140332533537155	0.0	15.0	15.0	0.0	-0.10514711803670448
1_02400001_02900000	1	2400001	2900000	2510250	2683983	-27.533404963000077	-27.533404963000077	0.0	11.0	11.0	0.0	-0.10514711803670448
1_02500001_03000000	1	2500001	3000000	2510250	2995224	-41.412460600865955	-41.412460600865955	0.0	21.0	21.0	0.0	-0.10514711803670448
1_02600001_03100000	1	2600001	3100000	2616193	2995224	-32.5258428273226	-32.5258428273226	0.0	16.0	16.0	0.0	-0.10514711803670448
1_02700001_03200000	1	2700001	3200000	2926656	2995224	-13.879055637865891	-13.879055637865891	0.0	10.0	10.0	0.0	-0.10514711803670448
1_02800001_03300000	1	2800001	3300000	2926656	2995224	-13.879055637865891	-13.879055637865891	0.0	10.0	10.0	0.0	-0.10514711803670448
1_02900001_03400000	1	2900001	3400000	2926656	2995224	-13.879055637865891	-13.879055637865891	0.0	10.0	10.0	0.0	-0.10514711803670448
1_03000001_03500000	1	3000001	3500000	0	0				1.0	1.0		
1_03100001_03600000	1	3100001	3600000	3470197	3567141	-18.34998130205964	-18.34998130205964	0.0	4.0	4.0	0.0	-0.10514711803670448
1_03200001_03700000	1	3200001	3700000	3470197	3669289	-41.148244898998286	-41.148244898998286	0.0	15.0	15.0	0.0	-0.10514711803670448
1_03300001_03800000	1	3300001	3800000	3470197	3790618	-57.626591700374455	-57.626591700374455	0.0	24.0	24.0	0.0	-0.10514711803670448
1_03400001_03900000	1	3400001	3900000	3470197	3899229	-81.85103785125479	-81.85103785125479	0.0	33.0	33.0	0.0	-0.10514711803670448
1_03500001_04000000	1	3500001	4000000	3510326	3905349	-81.14060569271692	-81.14060569271692	0.0	36.0	36.0	0.0	-0.10514711803670448
1_03600001_04100000	1	3600001	4100000	3607454	4097414	-87.86749482204664	-87.86749482204664	0.0	42.0	42.0	0.0	-0.10514711803670448
1_03700001_04200000	1	3700001	4200000	3704589	4103399	-79.09999672294387	-79.09999672294387	0.0	32.0	32.0	0.0	-0.10514711803670448
1_03800001_04300000	1	3800001	4300000	3815823	4207792	-58.17736496075142	-58.17736496075142	0.0	25.0	25.0	0.0	-0.10514711803670448
1_03900001_04400000	1	3900001	4400000	3905144	4389264	-51.58462246674602	-52.29210707086992	0.0002	20.0	20.0	1.414969208247797	2.0429084620986058
1_04000001_04500000	1	4000001	4500000	4020356	4497018	-48.70692583552176	-48.70692583552176	0.0	21.0	21.0	0.0	-0.10514711803670448
1_04100001_04600000	1	4100001	4600000	4103399	4579286	-42.35337289200353	-42.35337289200353	0.0	20.0	20.0	0.0	-0.10514711803670448
1_04200001_04700000	1	4200001	4700000	4207444	4699984	-54.60971708323232	-54.60971708323232	0.0	24.0	24.0	0.0	-0.10514711803670448
1_04300001_04800000	1	4300001	4800000	4318415	4794651	-53.95512743065042	-53.95512743065042	0.0	41.0	41.0	0.0	-0.10514711803670448
1_04400001_04900000	1	4400001	4900000	4426933	4864360	-62.12642421586611	-62.12642421586611	0.0	53.0	53.0	0.0	-0.10514711803670448
1_04500001_05000000	1	4500001	5000000	4559931	4973080	-55.3311438972838	-55.3311438972838	0.0	59.0	59.0	0.0	-0.10514711803670448
1_04600001_05100000	1	4600001	5100000	4674855	5024702	-45.55755232694067	-45.55755232694067	0.0	52.0	52.0	0.0	-0.10514711803670448
1_04700001_05200000	1	4700001	5200000	4714237	5184422	-51.54467437227977	-51.54467437227977	0.0	64.0	64.0	0.0	-0.10514711803670448
1_04800001_05300000	1	4800001	5300000	4801091	5288530	-87.32138208985488	-87.32138208985488	0.0	78.0	78.0	0.0	-0.10514711803670448
1_04900001_05400000	1	4900001	5400000	4942679	5388232	-69.64177104626091	-69.64177104626091	0.0	65.0	65.0	0.0	-0.10514711803670448
1_05000001_05500000	1	5000001	5500000	5024702	5411868	-90.16916601894326	-90.16916601894326	0.0	60.0	60.0	0.0	-0.10514711803670448
1_05100001_05600000	1	5100001	5600000	5116341	5599617	-99.7804497582693	-99.7804497582693	0.0	63.0	63.0	0.0	-0.10514711803670448
1_05200001_05700000	1	5200001	5700000	5202921	5667573	-112.30175721210878	-112.30175721210878	0.0	60.0	60.0	0.0	-0.10514711803670448
1_05300001_05800000	1	5300001	5800000	5387969	5794479	-76.87874243894886	-76.87874243894886	0.0	39.0	39.0	0.0	-0.10514711803670448
1_05400001_05900000	1	5400001	5900000	5402122	5889273	-81.16083371011695	-81.16083371011695	0.0	43.0	43.0	0.0	-0.10514711803670448
1_05500001_06000000	1	5500001	6000000	5530896	5998815	-78.61107473170155	-78.61107473170155	0.0	53.0	53.0	0.0	-0.10514711803670448
1_05600001_06100000	1	5600001	6100000	5600116	6093046	-79.74631001680379	-79.74631001680379	0.0	54.0	54.0	0.0	-0.10514711803670448
