pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
pop_A	pop_B	chr2L	1	100	0.0489285714285714	98	1918	39200	0
pop_A	pop_B	chr2L	101	200	0.0438888888888888	99	1738	39600	0
pop_A	pop_B	chr2L	201	300	0.0443434343434343	99	1756	39600	0
pop_A	pop_B	chr2L	301	400	0.0646354166666666	96	2482	38400	0
pop_A	pop_B	chr2L	401	500	0.0635353535353535	99	2516	39600	0
pop_A	pop_B	chr2L	501	600	0.052061855670103	97	2020	38800	0
pop_A	pop_B	chr2L	601	700	0.0532291666666666	96	2044	38400	0
pop_A	pop_B	chr2L	701	800	0.0602083333333333	96	2312	38400	0
pop_A	pop_B	chr2L	801	900	0.0520103092783505	97	2018	38800	0
pop_A	pop_B	chr2L	901	1000	0.04615	100	1846	40000	0
pop_A	pop_B	chr2L	1001	1100	0.0570526315789473	95	2168	38000	0
pop_A	pop_B	chr2L	1101	1200	0.0700510204081632	98	2746	39200	0
pop_A	pop_B	chr2L	1201	1300	0.0588265306122448	98	2306	39200	0
pop_A	pop_B	chr2L	1301	1400	0.0463541666666666	96	1780	38400	0
pop_A	pop_B	chr2L	1401	1500	0.0569	100	2276	40000	0
pop_A	pop_B	chr2L	1501	1600	0.0661340206185567	97	2566	38800	0
pop_A	pop_B	chr2L	1601	1700	0.0511458333333333	96	1964	38400	0
pop_A	pop_B	chr2L	1701	1800	0.05125	100	2050	40000	0
pop_A	pop_B	chr2L	1801	1900	0.0506565656565656	99	2006	39600	0
pop_A	pop_B	chr2L	1901	2000	0.0660204081632653	98	2588	39200	0
pop_A	pop_B	chr2L	2001	2100	0.069375	96	2664	38400	0
pop_A	pop_B	chr2L	2101	2200	0.0593939393939393	99	2352	39600	0
pop_A	pop_B	chr2L	2201	2300	0.081734693877551	98	3204	39200	0
pop_A	pop_B	chr2L	2301	2400	0.0721134020618556	97	2798	38800	0
pop_A	pop_B	chr2L	2401	2500	0.04375	92	1610	36800	0
pop_A	pop_B	chr2L	2501	2600	0.0584895833333333	96	2246	38400	0
pop_A	pop_B	chr2L	2601	2700	0.0387244897959183	98	1518	39200	0
pop_A	pop_B	chr2L	2701	2800	0.0525257731958762	97	2038	38800	0
pop_A	pop_B	chr2L	2801	2900	0.0567676767676767	99	2248	39600	0
pop_A	pop_B	chr2L	2901	3000	0.0690306122448979	98	2706	39200	0
pop_A	pop_B	chr2L	3001	3100	0.0546907216494845	97	2122	38800	0
pop_A	pop_B	chr2L	3101	3200	0.061	95	2318	38000	0
pop_A	pop_B	chr2L	3201	3300	0.06095	100	2438	40000	0
pop_A	pop_B	chr2L	3301	3400	0.0388383838383838	99	1538	39600	0
pop_A	pop_B	chr2L	3401	3500	0.074381443298969	97	2886	38800	0
pop_A	pop_B	chr2L	3501	3600	0.0478350515463917	97	1856	38800	0
pop_A	pop_B	chr2L	3601	3700	0.0439	100	1756	40000	0
pop_A	pop_B	chr2L	3701	3800	0.0655612244897959	98	2570	39200	0
pop_A	pop_B	chr2L	3801	3900	0.041938775510204	98	1644	39200	0
pop_A	pop_B	chr2L	3901	4000	0.0709183673469387	98	2780	39200	0
pop_A	pop_B	chr2L	4001	4100	0.07005	100	2802	40000	0
pop_A	pop_B	chr2L	4101	4200	0.087680412371134	97	3402	38800	0
pop_A	pop_B	chr2L	4201	4300	0.0633673469387755	98	2484	39200	0
pop_A	pop_B	chr2L	4301	4400	0.057	100	2280	40000	0
pop_A	pop_B	chr2L	4401	4500	0.0583505154639175	97	2264	38800	0
pop_A	pop_B	chr2L	4501	4600	0.0631313131313131	99	2500	39600	0
pop_A	pop_B	chr2L	4601	4700	0.0527604166666666	96	2026	38400	0
pop_A	pop_B	chr2L	4701	4800	0.0573469387755102	98	2248	39200	0
pop_A	pop_B	chr2L	4801	4900	0.0911734693877551	98	3574	39200	0
pop_A	pop_B	chr2L	4901	5000	0.0540306122448979	98	2118	39200	0
pop_A	pop_B	chr2L	5001	5100	0.0674489795918367	98	2644	39200	0
pop_A	pop_B	chr2L	5101	5200	0.0464141414141414	99	1838	39600	0
pop_A	pop_B	chr2L	5201	5300	0.035	100	1400	40000	0
pop_A	pop_B	chr2L	5301	5400	0.0636868686868686	99	2522	39600	0
pop_A	pop_B	chr2L	5401	5500	0.0758673469387755	98	2974	39200	0
pop_A	pop_B	chr2L	5501	5600	0.0535204081632653	98	2098	39200	0
pop_A	pop_B	chr2L	5601	5700	0.0292783505154639	97	1136	38800	0
pop_A	pop_B	chr2L	5701	5800	0.0510824742268041	97	1982	38800	0
pop_A	pop_B	chr2L	5801	5900	0.0570918367346938	98	2238	39200	0
pop_A	pop_B	chr2L	5901	6000	0.0788383838383838	99	3122	39600	0
pop_A	pop_B	chr2L	6001	6100	0.0480927835051546	97	1866	38800	0
pop_A	pop_B	chr2L	6101	6200	0.04625	100	1850	40000	0
pop_A	pop_B	chr2L	6201	6300	0.0650520833333333	96	2498	38400	0
pop_A	pop_B	chr2L	6301	6400	0.0753125	96	2892	38400	0
pop_A	pop_B	chr2L	6401	6500	0.0522727272727272	99	2070	39600	0
pop_A	pop_B	chr2L	6501	6600	0.0559793814432989	97	2172	38800	0
pop_A	pop_B	chr2L	6601	6700	0.0596938775510204	98	2340	39200	0
pop_A	pop_B	chr2L	6701	6800	0.0758163265306122	98	2972	39200	0
pop_A	pop_B	chr2L	6801	6900	0.0427604166666666	96	1642	38400	0
pop_A	pop_B	chr2L	6901	7000	0.0733505154639175	97	2846	38800	0
pop_A	pop_B	chr2L	7001	7100	0.0547448979591836	98	2146	39200	0
pop_A	pop_B	chr2L	7101	7200	0.0524226804123711	97	2034	38800	0
pop_A	pop_B	chr2L	7201	7300	0.06395	100	2558	40000	0
pop_A	pop_B	chr2L	7301	7400	0.0647448979591836	98	2538	39200	0
pop_A	pop_B	chr2L	7401	7500	0.0707142857142857	98	2772	39200	0
pop_A	pop_B	chr2L	7501	7600	0.0541836734693877	98	2124	39200	0
pop_A	pop_B	chr2L	7601	7700	0.0406060606060606	99	1608	39600	0
pop_A	pop_B	chr2L	7701	7800	0.0388	100	1552	40000	0
pop_A	pop_B	chr2L	7801	7900	0.0511616161616161	99	2026	39600	0
pop_A	pop_B	chr2L	7901	8000	0.04865	100	1946	40000	0
pop_A	pop_B	chr2L	8001	8100	0.0628282828282828	99	2488	39600	0
pop_A	pop_B	chr2L	8101	8200	0.0869191919191919	99	3442	39600	0
pop_A	pop_B	chr2L	8201	8300	0.0684375	96	2628	38400	0
pop_A	pop_B	chr2L	8301	8400	0.0533	100	2132	40000	0
pop_A	pop_B	chr2L	8401	8500	0.0756632653061224	98	2966	39200	0
pop_A	pop_B	chr2L	8501	8600	0.0388775510204081	98	1524	39200	0
pop_A	pop_B	chr2L	8601	8700	0.0635567010309278	97	2466	38800	0
pop_A	pop_B	chr2L	8701	8800	0.0641578947368421	95	2438	38000	0
pop_A	pop_B	chr2L	8801	8900	0.0764432989690721	97	2966	38800	0
pop_A	pop_B	chr2L	8901	9000	0.0532653061224489	98	2088	39200	0
pop_A	pop_B	chr2L	9001	9100	0.0772680412371134	97	2998	38800	0
pop_A	pop_B	chr2L	9101	9200	0.07125	96	2736	38400	0
pop_A	pop_B	chr2L	9201	9300	0.0572222222222222	99	2266	39600	0
pop_A	pop_B	chr2L	9301	9400	0.0933838383838383	99	3698	39600	0
pop_A	pop_B	chr2L	9401	9500	0.0587878787878787	99	2328	39600	0
pop_A	pop_B	chr2L	9501	9600	0.05675	100	2270	40000	0
pop_A	pop_B	chr2L	9601	9700	0.0681958762886597	97	2646	38800	0
pop_A	pop_B	chr2L	9701	9800	0.0763020833333333	96	2930	38400	0
pop_A	pop_B	chr2L	9801	9900	0.0372395833333333	96	1430	38400	0
pop_A	pop_B	chr2L	9901	10000	0.0703030303030303	99	2784	39600	0
pop_A	pop_B	chr2L	10001	10100	0.0444791666666666	96	1708	38400	0
pop_A	pop_B	chr2L	10101	10200	0.0531818181818181	99	2106	39600	0
pop_A	pop_B	chr2L	10201	10300	0.0599489795918367	98	2350	39200	0
pop_A	pop_B	chr2L	10301	10400	0.0438	100	1752	40000	0
pop_A	pop_B	chr2L	10401	10500	0.0606060606060606	99	2400	39600	0
pop_A	pop_B	chr2L	10501	10600	0.07125	100	2850	40000	0
pop_A	pop_B	chr2L	10601	10700	0.073469387755102	98	2880	39200	0
pop_A	pop_B	chr2L	10701	10800	0.0474226804123711	97	1840	38800	0
pop_A	pop_B	chr2L	10801	10900	0.0502	100	2008	40000	0
pop_A	pop_B	chr2L	10901	11000	0.0581122448979591	98	2278	39200	0
pop_A	pop_B	chr2L	11001	11100	0.062704081632653	98	2458	39200	0
pop_A	pop_B	chr2L	11101	11200	0.0687878787878787	99	2724	39600	0
pop_A	pop_B	chr2L	11201	11300	0.0395876288659793	97	1536	38800	0
pop_A	pop_B	chr2L	11301	11400	0.071734693877551	98	2812	39200	0
pop_A	pop_B	chr2L	11401	11500	0.0416326530612244	98	1632	39200	0
pop_A	pop_B	chr2L	11501	11600	0.0559895833333333	96	2150	38400	0
pop_A	pop_B	chr2L	11601	11700	0.0682142857142857	98	2674	39200	0
pop_A	pop_B	chr2L	11701	11800	0.066010101010101	99	2614	39600	0
pop_A	pop_B	chr2L	11801	11900	0.05984375	96	2298	38400	0
pop_A	pop_B	chr2L	11901	12000	0.0473195876288659	97	1836	38800	0
pop_A	pop_B	chr2L	12001	12100	0.062	100	2480	40000	0
pop_A	pop_B	chr2L	12101	12200	0.0540816326530612	98	2120	39200	0
pop_A	pop_B	chr2L	12201	12300	0.0545833333333333	96	2096	38400	0
pop_A	pop_B	chr2L	12301	12400	0.0889690721649484	97	3452	38800	0
pop_A	pop_B	chr2L	12401	12500	0.0493939393939393	99	1956	39600	0
pop_A	pop_B	chr2L	12501	12600	0.0582989690721649	97	2262	38800	0
pop_A	pop_B	chr2L	12601	12700	0.0528787878787878	99	2094	39600	0
pop_A	pop_B	chr2L	12701	12800	0.0644845360824742	97	2502	38800	0
pop_A	pop_B	chr2L	12801	12900	0.0648484848484848	99	2568	39600	0
pop_A	pop_B	chr2L	12901	13000	0.07835	100	3134	40000	0
pop_A	pop_B	chr2L	13001	13100	0.04495	100	1798	40000	0
pop_A	pop_B	chr2L	13101	13200	0.063	100	2520	40000	0
pop_A	pop_B	chr2L	13201	13300	0.07485	100	2994	40000	0
pop_A	pop_B	chr2L	13301	13400	0.0634183673469387	98	2486	39200	0
pop_A	pop_B	chr2L	13401	13500	0.0717857142857142	98	2814	39200	0
